backbone,dataset,strategy,layer,assigned_rank,pre_acc,post_acc,delta
facebook/dinov2-base,cifar100,vanilla,0,8,28.360000000000003,28.349999999999998,-0.010000000000005116
facebook/dinov2-base,cifar100,vanilla,1,8,39.0,38.72,-0.28000000000000114
facebook/dinov2-base,cifar100,vanilla,2,8,42.699999999999996,43.72,1.0200000000000031
facebook/dinov2-base,cifar100,vanilla,3,8,53.54,54.48,0.9399999999999977
facebook/dinov2-base,cifar100,vanilla,4,8,57.87,60.160000000000004,2.2900000000000063
facebook/dinov2-base,cifar100,vanilla,5,8,63.22,64.89,1.6700000000000017
facebook/dinov2-base,cifar100,vanilla,6,8,68.37,71.17999999999999,2.809999999999988
facebook/dinov2-base,cifar100,vanilla,7,8,70.82000000000001,74.61,3.789999999999992
facebook/dinov2-base,cifar100,vanilla,8,8,74.28,78.78,4.5
facebook/dinov2-base,cifar100,vanilla,9,8,80.28,84.7,4.420000000000002
facebook/dinov2-base,cifar100,vanilla,10,8,86.53999999999999,90.73,4.190000000000012
facebook/dinov2-base,cifar100,vanilla,11,8,88.7,93.25,4.549999999999997
facebook/dinov2-base,cifar100,support_weak,0,15,28.360000000000003,28.27,-0.09000000000000341
facebook/dinov2-base,cifar100,support_weak,1,13,39.0,38.81,-0.18999999999999773
facebook/dinov2-base,cifar100,support_weak,2,12,42.699999999999996,43.71,1.0100000000000051
facebook/dinov2-base,cifar100,support_weak,3,9,53.54,54.49,0.9500000000000028
facebook/dinov2-base,cifar100,support_weak,4,9,57.87,60.260000000000005,2.3900000000000077
facebook/dinov2-base,cifar100,support_weak,5,7,63.22,65.93,2.710000000000008
facebook/dinov2-base,cifar100,support_weak,6,6,68.37,71.31,2.9399999999999977
facebook/dinov2-base,cifar100,support_weak,7,6,70.82000000000001,74.98,4.159999999999997
facebook/dinov2-base,cifar100,support_weak,8,5,74.28,78.53,4.25
facebook/dinov2-base,cifar100,support_weak,9,4,80.28,84.34,4.060000000000002
facebook/dinov2-base,cifar100,support_weak,10,2,86.53999999999999,90.89,4.3500000000000085
facebook/dinov2-base,cifar100,support_weak,11,2,88.7,92.94,4.239999999999995
facebook/dinov2-base,cifar100,amplify_strong,0,3,28.360000000000003,27.939999999999998,-0.42000000000000526
facebook/dinov2-base,cifar100,amplify_strong,1,4,39.0,38.85,-0.14999999999999858
facebook/dinov2-base,cifar100,amplify_strong,2,5,42.699999999999996,43.269999999999996,0.5700000000000003
facebook/dinov2-base,cifar100,amplify_strong,3,6,53.54,54.410000000000004,0.8700000000000045
facebook/dinov2-base,cifar100,amplify_strong,4,7,57.87,60.589999999999996,2.719999999999999
facebook/dinov2-base,cifar100,amplify_strong,5,8,63.22,65.61,2.3900000000000006
facebook/dinov2-base,cifar100,amplify_strong,6,8,68.37,71.66,3.289999999999992
facebook/dinov2-base,cifar100,amplify_strong,7,9,70.82000000000001,74.92999999999999,4.109999999999985
facebook/dinov2-base,cifar100,amplify_strong,8,9,74.28,79.22,4.939999999999998
facebook/dinov2-base,cifar100,amplify_strong,9,10,80.28,84.78,4.5
facebook/dinov2-base,cifar100,amplify_strong,10,11,86.53999999999999,91.16,4.6200000000000045
facebook/dinov2-base,cifar100,amplify_strong,11,11,88.7,93.47,4.769999999999996
facebook/dinov2-base,cifar100,proportional,0,4,28.360000000000003,28.57,0.2099999999999973
facebook/dinov2-base,cifar100,proportional,1,6,39.0,39.32,0.3200000000000003
facebook/dinov2-base,cifar100,proportional,2,6,42.699999999999996,43.24,0.5400000000000063
facebook/dinov2-base,cifar100,proportional,3,9,53.54,54.300000000000004,0.7600000000000051
facebook/dinov2-base,cifar100,proportional,4,9,57.87,59.230000000000004,1.3600000000000065
facebook/dinov2-base,cifar100,proportional,5,10,63.22,65.21000000000001,1.990000000000009
facebook/dinov2-base,cifar100,proportional,6,11,68.37,70.63000000000001,2.260000000000005
facebook/dinov2-base,cifar100,proportional,7,12,70.82000000000001,74.75,3.9299999999999926
facebook/dinov2-base,cifar100,proportional,8,13,74.28,78.8,4.519999999999996
facebook/dinov2-base,cifar100,proportional,9,14,80.28,84.21,3.9299999999999926
facebook/dinov2-base,cifar100,proportional,10,15,86.53999999999999,90.79,4.250000000000014
facebook/dinov2-base,cifar100,proportional,11,15,88.7,93.28,4.579999999999998
facebook/dinov2-base,oxford_pets,vanilla,0,8,17.198146633960206,17.198146633960206,0.0
facebook/dinov2-base,oxford_pets,vanilla,1,8,26.737530662305804,26.464976832924503,-0.2725538293813017
facebook/dinov2-base,oxford_pets,vanilla,2,8,32.59743799400381,32.57018261106568,-0.027255382938129458
facebook/dinov2-base,oxford_pets,vanilla,3,8,40.66503134369038,41.45543744889616,0.7904061052057827
facebook/dinov2-base,oxford_pets,vanilla,4,8,46.90651403652221,47.83319705641864,0.92668301989643
facebook/dinov2-base,oxford_pets,vanilla,5,8,51.158353774870534,55.110384300899426,3.952030526028892
facebook/dinov2-base,oxford_pets,vanilla,6,8,54.26546742981739,57.290814935949854,3.025347506132462
facebook/dinov2-base,oxford_pets,vanilla,7,8,61.51539929136004,64.15917143635869,2.6437721449986498
facebook/dinov2-base,oxford_pets,vanilla,8,8,69.91005723630417,72.06323248841646,2.153175252112291
facebook/dinov2-base,oxford_pets,vanilla,9,8,83.12891796129736,83.31970564186427,0.1907876805669133
facebook/dinov2-base,oxford_pets,vanilla,10,8,94.79422185881712,93.73126192423004,-1.0629599345870844
facebook/dinov2-base,oxford_pets,vanilla,11,8,95.61188334696102,95.39384028345597,-0.21804306350504987
facebook/dinov2-base,oxford_pets,support_weak,0,15,17.198146633960206,16.59852820932134,-0.5996184246388658
facebook/dinov2-base,oxford_pets,support_weak,1,13,26.737530662305804,26.95557372581085,0.21804306350504632
facebook/dinov2-base,oxford_pets,support_weak,2,12,32.59743799400381,31.152902698282908,-1.444535295720904
facebook/dinov2-base,oxford_pets,support_weak,3,10,40.66503134369038,41.6734805124012,1.0084491687108184
facebook/dinov2-base,oxford_pets,support_weak,4,9,46.90651403652221,47.66966475878986,0.7631507222676461
facebook/dinov2-base,oxford_pets,support_weak,5,8,51.158353774870534,53.31152902698283,2.153175252112298
facebook/dinov2-base,oxford_pets,support_weak,6,8,54.26546742981739,55.81902425729082,1.5535568274734288
facebook/dinov2-base,oxford_pets,support_weak,7,7,61.51539929136004,63.69582992641046,2.1804306350504206
facebook/dinov2-base,oxford_pets,support_weak,8,5,69.91005723630417,74.02562005996184,4.115562823657669
facebook/dinov2-base,oxford_pets,support_weak,9,3,83.12891796129736,83.75579176887436,0.6268738075769988
facebook/dinov2-base,oxford_pets,support_weak,10,1,94.79422185881712,93.67675115835378,-1.1174707004633433
facebook/dinov2-base,oxford_pets,support_weak,11,1,95.61188334696102,95.66639411283728,0.054510765876258915
facebook/dinov2-base,oxford_pets,amplify_strong,0,2,17.198146633960206,17.470700463341508,0.2725538293813017
